id,name,price,brand,model,ref,mvmt,casem,bracem,yop,cond,sex,size,condition
5985,"IWC Portofino Chronograph
IW391031 NEW","$7,079",IWC,Portofino Chronograph,IW391031,Automatic,Steel,Crocodile skin,2022,Unworn,Men's watch/Unisex,42 mm,
9141,"Cartier Roadster
良品 CARTIER カルティエ ロードスターSM コンビ デイト W62026Y4 クォーツ レディース_713869 中古","$4,329",Cartier,Roadster,W62026Y4,Quartz,,,Unknown,Good,Women's watch,31 mm,
2239,"Vacheron Constantin Overseas World Time
UNWORN","$46,006",Vacheron Constantin,Overseas World Time,7700V-110A-B129,,,,2021,Unworn,Men's watch/Unisex,43.5 mm,
11660,"Patek Philippe Perpetual Calendar
Grand Complication Perpetual Calendar Watch 5139G-010","$56,995",Patek Philippe,Perpetual Calendar,5139G-010,Automatic,White gold,Leather,Unknown,Good,Men's watch/Unisex,38 mm,
8029,"IWC
'30's","$8,633",IWC,,,,,,Unknown,Good,,45 mm,
12347,"Cartier Santos
De Cartier 44.9mm Steel - Yellow Gold Bezel - Silver Dial - Rubber Strap W2SA0008","$13,350",Cartier,Santos,W2SA0008,,,,2023,Unworn,Men's watch/Unisex,43.3 mm,
10094,"Omega Seamaster
Honeycomb 1950s","$2,280",Omega,Seamaster,,Automatic,Steel,Leather,1952,Good,,34 mm,
17303,"Omega Seamaster Diver 300 M
210.32.42.20.04.001 - TOP","$5,815",Omega,Seamaster Diver 300 M,210.32.42.20.04.001,,,,2023,New,Men's watch/Unisex,42 mm,
10613,"TAG Heuer Formula 1 Calibre 7
タグ・ホイヤー TAG HEUER フォーミュラ1 GMT デヴィッド・ゲッタWAZ201A.FC8195","$1,790",TAG Heuer,Formula 1 Calibre 7,WAZ201A.FC8195,Automatic,Steel,,Unknown,Unworn,Men's watch/Unisex,43 mm,
24385,,"$3,539",Rolex,Lady-Datejust,69174,,,,Unknown,,,"[Product number] 2143800188733

[Accessories] Box/Warranty (1995)

[Size] Case diameter: 2.5 (mm) / belt inner diameter (arm circumference): about 17 (cm)

[Warranty] Our 6-month warranty (spontaneous movement failure only)

【situation】

Glass: Scratches, scratches, chips at 1 o'clock and 3 o'clock

Bezel: small scratches

Case: Scratches, threads

Case back: small scratches

Bracelet: Thread

Buckle: small scratches, threads

Comment: As this is a used item, there may be minor scratches and scuffs, but there is no noticeable damage, and it is a product that can still be used.

[*] Since this is a store display item, there may be small scratches that are not shown in the photo. Please acknowledge it beforehand.

[※] Please contact the store for detailed conditions.

[as good as new/used A]

Overhaul and exterior finishing are performed by our partner company.

[Used A]

There are no noticeable scratches that should be noted, and it is in a beautiful state with only a few small scratches on the whole.

[Used B]

Because it is a second-hand product, there is a feeling of use on the whole.



【Note】

1 Prices shown do not include tax (duty-free prices).

It is not possible to declare and ship with a lower amount at the time of shipping. Please refrain from such questions.

Import tax is not included in the displayed price.

All taxes paid are the buyer's responsibility.

2 Transfer fee Please pay the customer.

3 Alligator leather and lizard leather straps cannot be shipped overseas due to export restrictions under the Washington Convention.

I will ship without the strap. All photos shown are of the actual watch.

\"Year\" in the basic information refers to the year of purchase described in the warranty card.

Sales prices do not include import taxes, customs duties, consumption taxes, etc.

The shipping fee at the time of purchase is our responsibility.

We ship by UPS. We cannot accept the designation of the delivery company.

After purchase, the product will be delivered safely and quickly.

[For customers in Japan]

The displayed price does not include tax. A 10% tax will be added to the displayed price if you wish to ship domestically.

[For US customers]

We are unable to accept orders for Rolex with a displayed price exceeding JPY500,000.

please note that.

[To overseas customers]

Please use Google Translate (JPN to ENG) and read the product description before asking questions.",Very good
12173,"Longines Record
Collection Chronometer Automatico Ref. L28214962 Blue Dial Leather Strap","$2,000",Longines,Record,L2.821.4.96.2,,,,Unknown,New,Men's watch/Unisex,40 mm,
4755,"TAG Heuer Carrera Calibre 16
Chronograph","$3,291",TAG Heuer,Carrera Calibre 16,CBN2A1AA.BA0643,Automatic,Steel,Steel,2022 (Approximation),New,Men's watch/Unisex,44 mm,
36478,,Price on request,Rolex,Submariner Date,16613,,Steel,Gold/Steel,1991,,,40 mm,Very good
14311,,"$8,125",Rolex,Datejust 36,116200,,Steel,Steel,2008,,,36 mm,Very good
13711,"Omega Seamaster Diver 300 M
Co-Axial Master Chronometer \"Beijing 2022\"　522.30.42.20.03.001","$4,983",Omega,Seamaster Diver 300 M,522.30.42.20.03.001,,,,2021 (Approximation),New,Men's watch/Unisex,42 mm,
4793,"Patek Philippe Nautilus
Full Set","$88,358",Patek Philippe,Nautilus,3710/1A-001,,,,1999,Very good,Men's watch/Unisex,42 x 38 mm,
35202,,"$7,158",Rolex,Datejust 36,116200,,,,Unknown,,,,Very good
8566,"Cartier Tank
Must","$2,250",Cartier,Tank,,Quartz,Silver,Leather,1986 (Approximation),Good,Men's watch/Unisex,24 x 30 mm,
7400,,Price on request,Rolex,Day-Date 40,228238-0006,,Yellow gold,Yellow gold,2022,,,40 mm,New
1140,"Hublot Big Bang Unico
Gmt Blue","$20,694",Hublot,Big Bang Unico,471.NL.7112.RX,Automatic,Titanium,Rubber,2023,New,Men's watch/Unisex,45 mm,
41921,,"$33,500",Rolex,Submariner Date,116610LV,,Steel,Steel,2020,,,40 mm,Very good
32960,,Price on request,Rolex,Day-Date 36,118296,,Platinum,Platinum,Unknown,,,36 mm,Unworn
4477,"Patek Philippe Calatrava
5120J","$17,672",Patek Philippe,Calatrava,5120J,Automatic,Yellow gold,Leather,Unknown,Very good,Men's watch/Unisex,35 mm,
1386,"Longines
Quartz Square/Tank NOS-condition/Mint",$917,Longines,,,,,,1983 (Approximation),Unworn,Men's watch/Unisex,,
13198,"Seiko
7T62-0GW0",$150,Seiko,,,,,,2011 (Approximation),Fair,Men's watch/Unisex,42 mm,
9482,"Tudor Prince Date
Black Dial Chronograph Steel Mens Watch 79280","$5,040",Tudor,Prince Date,79280,Automatic,Steel,Steel,Unknown,Very good,Men's watch/Unisex,40 mm,
5245,"Tudor Submariner
75190","$5,636",Tudor,Submariner,75190,,,,Unknown,Very good,Men's watch/Unisex,36 mm,
2809,"Seiko
[N MINT] SEIKO Chrono Diver 100m tachymeter 7T32-7H00 QZ Men Watch JAPAN 835 JDM",$299,Seiko,,,,,,Unknown,Very good,Men's watch/Unisex,43 mm,
7710,"Patek Philippe Calatrava
5119J-001 Gelbgold 750","$20,750",Patek Philippe,Calatrava,5119J-001,Manual winding,Yellow gold,Leather,2009,Very good,Men's watch/Unisex,36 mm,
23174,"Omega Constellation Ladies
Lady Gold 18k 750er Diamanten Box","$5,005",Omega,Constellation Ladies,,,,,1990,Good,,,
2109,"Breitling Chronomat 44
Super Chronomat 44mm","$7,879",Breitling,Chronomat 44,AB0136161C1S1,Automatic,Steel,Rubber,2023,Unworn,Men's watch/Unisex,44 mm,
12699,"Cartier Tank MC
Chronograph W5330007 Pre-Owned","$6,175",Cartier,Tank MC,W5330007,Automatic,Steel,Crocodile skin,Unknown,Very good,Men's watch/Unisex,34 x 44 mm,
4934,"IWC Aquatimer Chronograph
3719 Steel WITH BOX TOP CONDITION YEARS '2000s","$4,593",IWC,Aquatimer Chronograph,IW3719,,,,2000 (Approximation),Very good,Men's watch/Unisex,42 mm,
41279,,"$33,888",Rolex,Yacht-Master II,116681,,,,2021,,,44 mm,New
4826,"Panerai
Special Editions - Luminor 1950","$8,998",Panerai,,PAM 00663,,,,2016,Very good,Men's watch/Unisex,47 mm,
11405,"Seiko Presage
SARF011 Mechanical 6R64 watch","$1,250",Seiko,Presage,,,,,2021,New,,,
1561,"Omega Constellation Ladies
Reloj Omega Mujer Constellation 123.25.27.20.57.004","$15,061",Omega,Constellation Ladies,123.25.27.20.57.004,Automatic,Steel,Steel,Unknown,Very good,Women's watch,27 mm,
