id,name,price,brand,model,ref,mvmt,casem,bracem,yop,cond,sex,size,condition,price_double
5291,"Breitling Navitimer
Automatic 35 18-karätiges Rotgold - Perlmutt mit Diamanten","$11,497",Breitling,Navitimer,R17395211A1P1,Automatic,Red gold,Crocodile skin,2023,New,Women's watch,35 mm,N/A,11497.0
44910,N/A,"$4,640",Rolex,Lady-Datejust,69174,N/A,N/A,N/A,1991 (Approximation),N/A,N/A,26 mm,Very good,4640.0
19355,"Omega Speedmaster Professional Moonwatch
Apollo Xvii","$12,088",Omega,Speedmaster Professional Moonwatch,311.30.42.30.99.002,N/A,N/A,N/A,2013,Very good,Men's watch/Unisex,42 mm,N/A,12088.0
2597,"Panerai Ferrari
Granturismo Fer00004 Full Set limited to 800 units","$6,576",Panerai,Ferrari,FER00018,N/A,N/A,N/A,2010,Very good,Men's watch/Unisex,40 mm,N/A,6576.0
41204,N/A,"$21,800",Rolex,Yacht-Master,168628,N/A,N/A,N/A,2001,N/A,N/A,35 mm,Very good,21800.0
15162,"Breitling Super Avenger II
Chronograph 48mm Stainless Steel Watch A13371","$4,800",Breitling,Super Avenger II,A13371,Automatic,Steel,Steel,Unknown,Very good,Men's watch/Unisex,48 mm,N/A,4800.0
1064,"Audemars Piguet Royal Oak Selfwinding
77350Ce New","$151,495",Audemars Piguet,Royal Oak Selfwinding,77350CE.OO.1266CE.01,N/A,N/A,N/A,Unknown,New,Women's watch,34 mm,N/A,151495.0
3063,"Audemars Piguet Royal Oak Chronograph
City Of Sails Royal Oak","$40,169",Audemars Piguet,Royal Oak Chronograph,25979ST.OO.D002CA.01,Automatic,Steel,Steel,2004,Good,Men's watch/Unisex,39 mm,N/A,40169.0
9480,"Tudor Black Bay Chrono
Chronograph Black Dial 41mm 79360 Leather MT5813 79360N (2023)","$4,199",Tudor,Black Bay Chrono,M79360N-0005,N/A,N/A,N/A,2023 (Approximation),Very good,Men's watch/Unisex,41 mm,N/A,4199.0
1227,"Patek Philippe World Time
5130/1R-011",Price on request,Patek Philippe,World Time,5130/1R-011,N/A,N/A,N/A,2021,Unworn,Men's watch/Unisex,39.5 mm,N/A,0.0
69295,N/A,"$48,573",Rolex,GMT-Master II,126715CHNR,N/A,N/A,N/A,2023,N/A,N/A,40 mm,Unworn,48573.0
6308,"Audemars Piguet Royal Oak Lady
Leaves Factory Diamond Set 33mm","$47,500",Audemars Piguet,Royal Oak Lady,67607bc.zz.d001su.01,Quartz,White gold,N/A,Unknown,Very good,Women's watch,33 x 42 mm,N/A,47500.0
1676,"Zenith
Chronomaster Original",Price on request,Zenith,N/A,03.3200.3600/21.M3200,N/A,N/A,N/A,2023 (Approximation),Unworn,Men's watch/Unisex,38 mm,N/A,0.0
5287,"Panerai Luminor Submersible
Quarantaquattro Grigio Roccia 44mm Esteel New 2023 Pam1288","$11,300",Panerai,Luminor Submersible,PAM 01288,N/A,N/A,N/A,2023,New,Men's watch/Unisex,44 mm,N/A,11300.0
2474,"Oris Aquis Date
01 733 7732 4135-07 4 21 64FC","$1,898",Oris,Aquis Date,01 733 7732 4135-07 4 21 64FC,N/A,N/A,N/A,2023,Unworn,Men's watch/Unisex,39.5 mm,N/A,1898.0
2675,"Oris Big Crown ProPilot Day Date
44mm - Black Dial - NEUHEIT","$1,739",Oris,Big Crown ProPilot Day Date,01 752 7760 4164-07 8 22 08,N/A,N/A,N/A,2021,New,Men's watch/Unisex,44 mm,N/A,1739.0
9562,"IWC
Date Cal.8541B","$1,099",IWC,N/A,N/A,N/A,N/A,N/A,1975 (Approximation),Good,Men's watch/Unisex,35 mm,N/A,1099.0
