id,name,price,brand,model,ref,mvmt,casem,bracem,yop,cond,sex,size,condition
3969,"TAG Heuer Carrera
Calibre HEUER 02 Automatik Chronograph 44mm","$5,958",TAG Heuer,Carrera,CBN2A1N.FT6238,Automatic,Steel,Rubber,2023,New,Men's watch/Unisex,44 mm,
48955,,"$63,575",Rolex,Day-Date 36,128348RBR,,,,Unknown,,,36 mm,Unworn
10924,,"$101,003",Rolex,Daytona,116598 SACO,,Yellow gold,Leather,2006,,,40 mm,Very good
11724,"Longines Heritage
Diver","$1,891",Longines,Heritage,L27964520,,,,2021,Very good,Men's watch/Unisex,43 mm,
3081,"Breitling Jupiter Pilot
Vintage Jupiter Pilot Herren Uhr Quartz A59027 Armbanduhr 43mm Br028","$1,839",Breitling,Jupiter Pilot,,,,,Unknown,Good,,43 mm,
4171,"Breitling Chronomat
B01 42",Price on request,Breitling,Chronomat,AB0134101G1A1,,,,2023 (Approximation),Unworn,Men's watch/Unisex,42 mm,
3896,"Breitling Superocean Heritage II 46
AB2020121B1S1","$4,613",Breitling,Superocean Heritage II 46,AB2020121B1S1,Automatic,Steel,Rubber,2023,New,Men's watch/Unisex,46 mm,
1918,"Seiko
Leather Strap White Dial Quartz SWR079 SWR079P1 SWR079P Women's Watch",$129,Seiko,,,,,,Unknown,New,Women's watch,32 mm,
8422,"Audemars Piguet Royal Oak
5691BA Pocket pendant watch ivory dial yellow gold 18KT 1982’s","$16,814",Audemars Piguet,Royal Oak,,,,,1982 (Approximation),Very good,Men's watch/Unisex,44 mm,
26539,,"$18,620",Rolex,Sea-Dweller Deepsea,136660,,Steel,Steel,2022,,,44 mm,Unworn
4440,"Patek Philippe Nautilus
Gold 18k 37mm Ref.3800/001 Full Set","$153,411",Patek Philippe,Nautilus,3800/001,,,,1998,Very good,Men's watch/Unisex,37 mm,
3181,"IWC Portofino Automatic
IW458101","$5,571",IWC,Portofino Automatic,IW458101,,,,2023,Unworn,Women's watch,37 mm,
3319,"Hublot Classic Fusion
542.NX.2611.LR","$7,240",Hublot,Classic Fusion,542.NX.2611.LR,,,,2023,Unworn,Men's watch/Unisex,42 mm,
4149,"Audemars Piguet Royal Oak Chronograph
 26331OR.OO.1220OR.01","$155,971",Audemars Piguet,Royal Oak Chronograph,26331OR.OO.1220OR.01,Automatic,Rose gold,Rose gold,2021,Very good,Men's watch/Unisex,41 mm,
1301,"Zenith
Chronomaster Open","$8,948",Zenith,,03.3300.3604/21.M3300,,,,2023,New,Men's watch/Unisex,39.50 mm,
1452,"Breitling Avenger Bandit
E1338310/M534/253S/E20DSA.2","$4,567",Breitling,Avenger Bandit,E1338310/M534/253S/E20DSA.2,Automatic,Titanium,,2017,Very good,Men's watch/Unisex,45 mm,
58678,,"$22,589",Rolex,Daytona,116503,,Gold/Steel,Gold/Steel,2021,,,40 mm,Very good
16695,"Seiko Brightz
SAGA183/8B82-0AR0 ブライツ デイト ソーラー電波 メンズ 良品 箱・保証書付き_745528 中古",$420,Seiko,,,,,,Unknown,Good,Men's watch/Unisex,43 mm,
